cod,cre,cre_nome,bairro,unidades,demanda,conf,espera,perdeu,ociosas,pressao
7.24,7,Jacarepaguá / Barra,Itanhangá / Barra da Tijuca,3,239,184,35,55,0,1.3
7.25,7,Jacarepaguá / Barra,Vargem Grande / Vargem Pequena,4,368,261,52,84,0,1.41
7.26,7,Jacarepaguá / Barra,Vargem Pequena / Vargem Grande,3,220,201,41,70,0,1.09
7.27,7,Jacarepaguá / Barra,Jacarepaguá / Camorim,2,466,68,318,9,0,6.85
7.28,7,Jacarepaguá / Barra,Recreio dos Bandeirantes / Recreio,5,528,427,22,208,0,1.24
7.29,7,Jacarepaguá / Barra,Recreio dos Bandeirantes / Vargem Grande,4,249,255,3,65,22,0.98
7.30,7,Jacarepaguá / Barra,Barra da Tijuca,2,175,174,45,109,0,1.01
8.1,8,Bangu / Realengo,Sulacap / Jardim Sulacap,2,63,55,1,9,0,1.15
8.2,8,Bangu / Realengo,Realengo,2,169,119,5,35,4,1.42
8.3,8,Bangu / Realengo,,0,0,0,0,0,0,
8.4,8,Bangu / Realengo,Realengo,4,382,318,24,133,118,1.2
8.5,8,Bangu / Realengo,,0,0,0,0,0,0,
8.6,8,Bangu / Realengo,Realengo / Padre Miguel,4,423,224,62,154,1,1.89
8.7,8,Bangu / Realengo,Realengo,1,221,189,0,17,0,1.17
8.8,8,Bangu / Realengo,Bangu,1,18,36,0,9,0,0.5
8.9,8,Bangu / Realengo,Bangu,4,354,190,45,83,0,1.86
8.10,8,Bangu / Realengo,Bangu,2,119,157,4,52,0,0.76
8.11,8,Bangu / Realengo,Bangu,1,230,66,95,2,0,3.48
8.12,8,Bangu / Realengo,Senador Camará / Jabour,4,448,281,59,117,0,1.59
8.13,8,Bangu / Realengo,Santíssimo,1,104,100,0,38,0,1.04
8.14,8,Bangu / Realengo,Deodoro / Magalhães Bastos,5,651,401,59,170,0,1.62
8.15,8,Bangu / Realengo,Padre Miguel / Realengo,3,189,126,19,46,0,1.5
8.16,8,Bangu / Realengo,Padre Miguel,4,353,372,35,127,0,0.95
8.17,8,Bangu / Realengo,Bangu / Realengo,3,245,227,15,185,0,1.08
8.18,8,Bangu / Realengo,Bangu,1,117,74,38,35,0,1.58
8.19,8,Bangu / Realengo,Bangu,3,188,166,4,45,0,1.13
8.20,8,Bangu / Realengo,Senador Camará / Bangu,4,430,252,157,91,0,1.71
8.21,8,Bangu / Realengo,Vila Kennedy / Bangu,3,325,196,118,108,1,1.66
8.22,8,Bangu / Realengo,Senador Camará,3,287,284,4,107,0,1.01
8.23,8,Bangu / Realengo,Vila Kennedy,1,133,56,97,27,0,2.38
8.24,8,Bangu / Realengo,Realengo,3,184,139,4,90,0,1.32
8.25,8,Bangu / Realengo,Bangu / Realengo,4,305,250,21,99,0,1.22
8.26,8,Bangu / Realengo,Bangu,3,218,206,0,104,0,1.06
8.27,8,Bangu / Realengo,Bangu,1,242,229,19,118,0,1.06
9.1,9,Campo Grande,Campo Grande / Carobinha,3,330,160,14,42,0,2.06
9.2,9,Campo Grande,Santíssimo / Campo Grande,5,613,405,62,182,0,1.51
9.3,9,Campo Grande,,0,0,0,0,0,0,
9.4,9,Campo Grande,Campo Grande,5,406,288,26,84,0,1.41
9.5,9,Campo Grande,Campo Grande,1,146,63,7,34,0,2.32
9.6,9,Campo Grande,Campo Grande,5,327,303,0,33,1,1.08
9.7,9,Campo Grande,Campo Grande / Santíssimo,6,450,271,86,147,0,1.66
9.8,9,Campo Grande,Campo Grande / Senador Vasconcelos,6,391,357,2,111,48,1.1
9.9,9,Campo Grande,Campo Grande / Inhoaíba,9,649,488,13,138,34,1.33
9.10,9,Campo Grande,Inhoaíba / Campo Grande,4,364,337,7,83,0,1.08
9.11,9,Campo Grande,Inhoaíba,3,313,317,0,26,9,0.99
9.12,9,Campo Grande,Cosmos / Campo Grande,3,278,206,1,79,17,1.35
9.13,9,Campo Grande,Cosmos,6,499,307,33,117,0,1.63
9.14,9,Campo Grande,Campo Grande / Cosmos,7,537,425,38,154,20,1.26
9.15,9,Campo Grande,Senador Vasconcelos / Campo Grande,5,420,266,35,166,0,1.58
9.16,9,Campo Grande,Campo Grande,5,408,336,0,63,0,1.21
9.17,9,Campo Grande,Campo Grande,2,146,83,18,18,2,1.76
9.18,9,Campo Grande,Campo Grande,4,98,94,0,22,0,1.04
9.19,9,Campo Grande,Campo Grande,5,463,264,22,117,0,1.75
9.20,9,Campo Grande,Campo Grande / Guaratiba,4,337,158,28,113,0,2.13
9.21,9,Campo Grande,Campo Grande,4,135,111,2,20,0,1.22
9.22,9,Campo Grande,Inhoaíba / Cosmos,3,268,198,4,64,0,1.35
9.23,9,Campo Grande,Cosmos / Santa Cruz,7,580,368,16,156,2,1.58
10.1,10,Santa Cruz / Sepetiba,Santa Cruz,2,222,93,91,7,0,2.39
10.2,10,Santa Cruz / Sepetiba,Santa Cruz,3,236,207,0,34,0,1.14
10.3,10,Santa Cruz / Sepetiba,Paciência / Inhoaíba,5,462,328,74,90,1,1.41
10.4,10,Santa Cruz / Sepetiba,Paciência,3,385,220,16,58,0,1.75
10.5,10,Santa Cruz / Sepetiba,Paciência / Santa Cruz,5,379,294,11,121,15,1.29
10.6,10,Santa Cruz / Sepetiba,Santa Cruz,6,352,287,11,48,24,1.23
10.7,10,Santa Cruz / Sepetiba,Santa Cruz,8,381,311,20,82,34,1.23
10.8,10,Santa Cruz / Sepetiba,Santa Cruz,3,158,123,14,22,0,1.28
10.9,10,Santa Cruz / Sepetiba,Sepetiba,4,354,282,20,70,20,1.26
10.10,10,Santa Cruz / Sepetiba,Santa Cruz,3,220,172,24,23,8,1.28
10.11,10,Santa Cruz / Sepetiba,Santa Cruz,7,346,321,6,43,52,1.08
10.12,10,Santa Cruz / Sepetiba,Santa Cruz,7,334,299,9,48,0,1.12
10.13,10,Santa Cruz / Sepetiba,Santa Cruz,4,265,208,7,35,0,1.27
10.14,10,Santa Cruz / Sepetiba,Santa Cruz,1,99,94,0,8,0,1.05
10.15,10,Santa Cruz / Sepetiba,Santa Cruz,7,454,391,4,66,0,1.16
10.16,10,Santa Cruz / Sepetiba,Santa Cruz,3,155,141,1,51,4,1.1
10.17,10,Santa Cruz / Sepetiba,Paciência / Santa Cruz,5,395,316,2,72,14,1.25
10.18,10,Santa Cruz / Sepetiba,Paciência,3,281,209,44,47,0,1.34
10.19,10,Santa Cruz / Sepetiba,"Paciência / Jardim dos Vieiras, Paciência",2,136,104,9,62,0,1.31
10.20,10,Santa Cruz / Sepetiba,Sepetiba,4,88,81,0,35,0,1.09
10.21,10,Santa Cruz / Sepetiba,Sepetiba / Santa Cruz,6,583,544,7,89,0,1.07
10.22,10,Santa Cruz / Sepetiba,Guaratiba / Pedra de Guaratiba,5,487,349,92,114,0,1.4
10.23,10,Santa Cruz / Sepetiba,Sepetiba / Santa Cruz,8,565,458,17,119,22,1.23
10.24,10,Santa Cruz / Sepetiba,Guaratiba / Pedra de Guaratiba,6,355,268,89,122,11,1.32
10.25,10,Santa Cruz / Sepetiba,Guaratiba,3,381,193,126,80,0,1.97
10.26,10,Santa Cruz / Sepetiba,Guaratiba,4,273,280,78,93,1,0.98
10.27,10,Santa Cruz / Sepetiba,Pedra de Guaratiba / Guaratiba,7,468,400,38,89,22,1.17
10.28,10,Santa Cruz / Sepetiba,Guaratiba / Campo Grande,3,392,296,46,95,5,1.32
10.29,10,Santa Cruz / Sepetiba,Guaratiba,1,207,48,96,12,0,4.31
11.1,11,Ilha do Governador,Ilha do Governador,2,297,125,138,39,0,2.38
11.2,11,Ilha do Governador,Ilha do Governador / Parque Royal,2,204,139,44,82,0,1.47
11.3,11,Ilha do Governador,Ilha do Governador / Guarabu,2,173,153,13,88,0,1.13
11.4,11,Ilha do Governador,Ilha do Governador / Tauá,2,274,266,38,139,0,1.03
11.5,11,Ilha do Governador,Ilha do Governador / Freguesia,7,453,379,28,230,0,1.2
11.6,11,Ilha do Governador,Cocotá / Ilha do Governador,2,179,119,15,37,0,1.5
